weekday,time,lat,lon,d_i,death,injury
5,8,51,61,0,0,0
5,8,64,75,0,0,0
5,8,70,51,0,0,0
5,8,73,58,0,0,0
2,9,42,79,0,0,0
5,8,53,77,0,0,0
5,8,54,69,1,0,1
5,8,35,43,1,0,1
5,8,55,46,0,0,0
5,8,47,72,0,0,0
5,9,60,67,0,0,0
5,9,46,73,0,0,0
5,9,86,64,0,0,0
5,9,65,69,0,0,0
5,9,64,46,0,0,0
5,9,40,58,0,0,0
5,9,48,83,0,0,0
5,9,59,48,1,0,1
4,0,60,49,1,0,1
4,0,52,54,0,0,0
4,0,50,92,0,0,0
0,15,42,81,1,0,1
2,20,82,70,0,0,0
1,18,90,70,0,0,0
6,21,48,75,0,0,0
6,22,30,57,0,0,0
6,22,67,61,0,0,0
6,22,66,86,0,0,0
6,22,81,61,0,0,0
6,22,79,56,0,0,0
6,22,23,48,0,0,0
6,22,64,50,1,0,1
6,22,30,60,0,0,0
6,22,91,69,1,0,1
6,23,91,67,0,0,0
6,23,46,50,0,0,0
6,23,33,46,0,0,0
5,21,51,68,0,0,0
4,0,71,52,0,0,0
2,0,45,64,0,0,0
2,0,53,93,0,0,0
2,0,79,57,0,0,0
2,0,63,52,0,0,0
2,0,65,51,0,0,0
2,0,70,55,0,0,0
2,0,83,61,0,0,0
2,10,40,64,0,0,0
2,10,40,54,0,0,0
2,10,40,75,0,0,0
2,10,65,50,1,0,1
2,10,73,57,1,0,1
2,10,45,55,0,0,0
2,10,32,55,0,0,0
2,10,97,73,0,0,0
2,10,38,42,0,0,0
2,10,52,94,0,0,0
2,10,86,64,0,0,0
2,10,47,83,0,0,0
2,10,58,73,0,0,0
2,10,59,74,1,0,1
2,11,36,51,0,0,0
2,11,63,62,0,0,0
2,11,52,68,0,0,0
2,11,46,80,0,0,0
2,12,58,46,0,0,0
2,12,75,66,0,0,0
2,12,47,47,1,0,1
2,12,45,66,1,0,1
2,12,76,61,0,0,0
2,12,80,72,0,0,0
2,12,54,46,0,0,0
2,12,53,46,0,0,0
2,12,28,87,0,0,0
2,13,27,48,0,0,0
2,13,48,56,0,0,0
2,13,45,90,0,0,0
2,13,10,13,0,0,0
2,13,81,66,1,0,1
2,13,43,60,0,0,0
2,13,56,73,0,0,0
2,13,44,60,0,0,0
2,13,64,50,0,0,0
2,13,43,88,0,0,0
2,13,45,82,0,0,0
2,13,88,70,0,0,0
2,13,56,59,0,0,0
2,13,26,46,1,0,1
2,13,49,83,1,0,2
2,13,52,43,0,0,0
2,13,56,50,0,0,0
2,13,53,67,0,0,0
2,13,85,62,1,0,1
2,13,86,66,0,0,0
2,13,39,61,0,0,0
2,13,81,72,0,0,0
2,13,30,48,0,0,0
2,13,53,94,0,0,0
2,13,49,50,0,0,0
2,13,34,44,1,0,1
2,14,48,54,0,0,0
2,14,61,89,0,0,0
2,14,56,82,0,0,0
2,14,57,59,0,0,0
2,14,34,30,0,0,0
2,14,47,50,0,0,0
2,14,61,45,0,0,0
2,14,54,87,0,0,0
2,14,76,58,0,0,0
2,14,45,67,0,0,0
2,14,43,60,0,0,0
2,14,58,61,0,0,0
2,14,70,77,0,0,0
2,14,28,54,0,0,0
2,14,61,49,0,0,0
2,14,81,67,0,0,0
2,14,43,54,1,0,2
2,14,22,47,0,0,0
2,15,86,63,0,0,0
2,15,34,47,0,0,0
2,15,94,71,1,0,1
2,15,47,54,0,0,0
2,15,87,64,0,0,0
2,15,62,59,0,0,0
2,15,61,82,0,0,0
2,15,41,58,1,0,1
2,15,83,63,0,0,0
2,15,45,62,0,0,0
2,15,22,51,0,0,0
2,15,59,73,0,0,0
2,15,50,47,0,0,0
2,15,58,70,1,0,1
2,15,45,85,0,0,0
2,15,72,51,0,0,0
2,15,55,45,0,0,0
2,15,60,50,0,0,0
2,15,60,50,0,0,0
2,16,36,43,0,0,0
2,16,45,59,0,0,0
2,16,64,76,0,0,0
2,16,60,66,0,0,0
2,16,53,72,0,0,0
2,16,51,68,0,0,0
2,16,70,85,0,0,0
2,16,66,81,1,0,1
2,16,82,57,0,0,0
2,16,51,83,0,0,0
2,16,54,47,0,0,0
2,16,56,46,0,0,0
2,16,53,65,0,0,0
2,16,87,65,1,0,1
2,16,42,57,0,0,0
2,16,62,68,0,0,0
2,16,51,53,0,0,0
2,16,45,90,1,0,1
2,16,66,48,0,0,0
2,16,64,59,0,0,0
2,16,87,66,0,0,0
2,16,42,66,0,0,0
2,17,65,71,0,0,0
2,17,81,66,0,0,0
2,17,30,53,0,0,0
2,17,64,76,0,0,0
2,17,74,58,1,0,4
2,17,58,72,0,0,0
2,17,27,29,0,0,0
2,17,55,80,1,0,4
2,17,10,13,0,0,0
2,17,24,48,0,0,0
2,18,45,69,0,0,0
2,18,48,60,0,0,0
2,18,53,44,0,0,0
2,18,59,68,0,0,0
2,18,57,74,0,0,0
2,18,78,62,0,0,0
2,18,59,58,0,0,0
2,18,74,53,1,1,0
2,18,49,81,1,0,1
2,18,76,60,0,0,0
2,18,55,54,0,0,0
2,18,44,44,0,0,0
2,18,48,60,1,0,3
2,18,75,55,0,0,0
2,18,45,57,0,0,0
2,19,36,65,0,0,0
2,19,42,82,1,0,2
2,19,82,61,0,0,0
2,19,86,64,0,0,0
2,19,20,29,1,0,1
2,19,58,61,0,0,0
2,19,78,73,0,0,0
2,19,40,51,0,0,0
2,19,45,90,1,0,2
2,19,66,78,0,0,0
2,1,64,53,0,0,0
2,1,46,74,0,0,0
2,1,55,94,1,0,1
2,20,56,74,0,0,0
2,20,49,73,0,0,0
2,20,81,70,1,0,1
2,20,49,54,1,0,1
2,20,72,57,0,0,0
2,20,72,57,0,0,0
2,20,48,56,1,0,1
2,20,76,64,0,0,0
2,20,80,77,0,0,0
2,20,89,72,0,0,0
2,20,67,54,0,0,0
2,20,64,89,0,0,0
2,20,63,67,1,0,1
2,20,29,19,1,0,1
2,20,50,56,0,0,0
2,20,31,52,0,0,0
2,20,65,49,0,0,0
2,20,15,13,0,0,0
2,20,86,62,0,0,0
2,20,49,54,0,0,0
2,20,81,55,0,0,0
2,20,61,65,0,0,0
2,20,67,50,0,0,0
2,20,65,46,0,0,0
2,20,55,66,0,0,0
2,20,75,59,0,0,0
2,21,63,46,0,0,0
2,21,52,61,0,0,0
2,21,69,55,0,0,0
2,21,79,67,0,0,0
2,21,33,46,0,0,0
2,21,90,66,0,0,0
2,21,77,56,0,0,0
2,21,51,56,0,0,0
2,21,45,58,0,0,0
2,21,54,45,0,0,0
2,22,93,75,0,0,0
2,22,48,49,0,0,0
2,22,47,57,0,0,0
2,22,68,61,1,0,2
2,22,42,58,0,0,0
2,22,85,58,0,0,0
2,22,58,50,1,0,1
2,22,26,55,0,0,0
2,22,33,51,0,0,0
2,22,56,90,0,0,0
2,23,43,57,0,0,0
2,23,37,24,0,0,0
2,23,92,79,1,0,4
2,23,43,57,1,0,2
2,23,63,50,0,0,0
2,23,62,51,0,0,0
2,23,33,43,1,0,2
2,23,76,57,0,0,0
2,2,31,48,0,0,0
2,2,59,46,0,0,0
2,3,82,64,0,0,0
2,3,61,59,0,0,0
2,4,37,42,0,0,0
2,5,64,67,1,0,1
2,5,38,46,0,0,0
2,6,59,57,0,0,0
2,7,31,43,0,0,0
2,7,47,54,0,0,0
2,7,67,49,1,0,1
2,7,41,76,0,0,0
2,7,57,65,0,0,0
2,7,44,85,0,0,0
2,7,53,54,0,0,0
2,7,65,49,0,0,0
2,8,28,47,0,0,0
2,8,68,48,0,0,0
2,8,43,78,0,0,0
2,8,45,64,0,0,0
2,8,63,52,0,0,0
2,8,30,48,0,0,0
2,8,27,49,0,0,0
2,9,43,59,0,0,0
2,9,45,92,0,0,0
2,9,55,57,0,0,0
2,9,85,76,0,0,0
2,9,42,58,0,0,0
2,9,49,54,0,0,0
2,9,55,46,0,0,0
2,9,55,47,0,0,0
2,9,80,71,0,0,0
2,9,45,65,0,0,0
1,0,34,55,0,0,0
1,0,37,53,1,0,1
1,0,91,62,0,0,0
1,0,65,46,0,0,0
1,0,42,47,0,0,0
1,0,68,54,1,0,1
1,0,59,50,0,0,0
1,0,64,52,0,0,0
1,10,90,66,0,0,0
1,10,38,67,0,0,0
1,10,54,52,0,0,0
1,10,42,81,0,0,0
1,10,43,87,1,0,1
1,10,31,43,1,0,1
1,10,90,75,0,0,0
1,10,44,50,0,0,0
1,10,65,87,0,0,0
1,10,64,52,0,0,0
1,10,76,54,0,0,0
1,10,17,15,1,0,1
1,10,61,50,0,0,0
1,10,54,54,0,0,0
1,11,72,55,0,0,0
1,11,52,75,0,0,0
1,12,46,50,0,0,0
1,12,26,54,0,0,0
1,12,55,50,0,0,0
1,12,60,45,0,0,0
1,12,84,58,0,0,0
1,12,65,49,0,0,0
1,12,63,51,0,0,0
1,12,55,89,0,0,0
1,12,32,32,0,0,0
1,12,51,56,0,0,0
1,12,61,48,0,0,0
1,12,61,50,0,0,0
1,12,79,66,0,0,0
1,12,85,69,0,0,0
1,12,56,56,0,0,0
1,12,52,45,0,0,0
1,12,47,49,0,0,0
1,12,55,45,0,0,0
1,12,78,54,0,0,0
1,12,57,70,0,0,0
1,12,43,63,1,0,1
1,12,24,54,0,0,0
1,13,66,93,0,0,0
1,13,65,50,0,0,0
1,14,42,82,1,0,1
1,15,36,60,0,0,0
1,15,61,57,0,0,0
1,15,88,59,0,0,0
1,15,68,53,0,0,0
1,15,46,50,0,0,0
1,15,55,92,1,0,1
1,15,78,57,1,0,1
1,15,32,45,1,0,1
1,15,60,97,0,0,0
1,15,36,25,0,0,0
1,16,81,64,0,0,0
1,16,48,48,0,0,0
1,16,30,49,0,0,0
1,16,91,62,0,0,0
1,16,47,56,0,0,0
1,16,52,46,0,0,0
1,16,40,44,0,0,0
1,16,40,88,0,0,0
1,16,35,60,1,0,1
1,16,75,67,0,0,0
1,16,44,62,0,0,0
1,16,62,50,0,0,0
1,16,64,48,0,0,0
1,16,44,72,0,0,0
1,16,88,78,0,0,0
1,17,40,62,0,0,0
1,17,54,45,0,0,0
1,17,10,9,0,0,0
1,17,64,46,0,0,0
1,17,65,49,0,0,0
1,17,89,60,0,0,0
1,17,56,58,0,0,0
1,17,27,53,1,0,1
1,17,58,46,0,0,0
1,17,47,49,0,0,0
1,17,23,52,0,0,0
1,17,39,66,0,0,0
1,17,38,54,0,0,0
1,17,26,46,0,0,0
1,17,57,46,0,0,0
1,17,70,71,0,0,0
1,17,87,65,1,0,2
1,17,36,56,0,0,0
1,17,53,79,0,0,0
1,17,65,85,0,0,0
1,17,66,52,1,0,1
1,18,44,48,0,0,0
1,18,57,80,0,0,0
1,18,58,73,0,0,0
1,18,53,49,0,0,0
1,18,33,59,1,0,1
1,18,55,45,0,0,0
1,18,63,51,0,0,0
1,18,63,48,0,0,0
1,18,63,76,0,0,0
1,18,62,91,0,0,0
1,18,52,78,1,0,2
1,18,75,60,0,0,0
1,18,49,48,0,0,0
1,18,59,64,0,0,0
1,18,65,55,0,0,0
1,18,58,47,0,0,0
1,18,37,49,0,0,0
1,18,25,51,0,0,0
1,18,66,81,0,0,0
1,19,51,55,0,0,0
1,19,50,53,0,0,0
1,19,48,76,0,0,0
1,19,76,59,1,0,1
1,19,82,66,0,0,0
1,19,36,45,1,0,1
1,19,88,64,0,0,0
1,19,64,76,0,0,0
1,19,69,56,0,0,0
1,19,69,56,0,0,0
1,19,61,49,1,0,1
1,19,74,54,1,0,1
1,19,43,56,1,0,1
1,19,72,52,0,0,0
1,19,87,64,0,0,0
1,19,44,70,0,0,0
1,19,46,56,1,0,1
1,19,36,62,0,0,0
1,1,45,61,1,0,1
1,1,57,47,0,0,0
1,1,59,49,1,0,1
1,1,63,60,0,0,0
1,20,53,47,0,0,0
1,20,46,88,0,0,0
1,20,88,60,1,0,1
1,20,77,80,0,0,0
1,20,63,69,0,0,0
1,20,56,65,0,0,0
1,20,48,57,0,0,0
1,20,93,79,0,0,0
1,20,47,49,1,0,1
1,20,82,68,1,0,1
1,20,56,47,0,0,0
1,20,54,63,0,0,0
1,21,64,49,0,0,0
1,21,61,66,0,0,0
1,21,48,54,1,0,1
1,21,62,47,0,0,0
1,21,13,9,1,0,1
1,21,75,59,0,0,0
1,21,51,72,0,0,0
1,21,50,73,0,0,0
1,21,64,52,0,0,0
1,21,36,45,1,0,1
1,22,34,49,0,0,0
1,22,86,67,0,0,0
1,22,51,84,0,0,0
1,22,33,47,1,0,2
1,22,44,52,0,0,0
1,23,88,65,0,0,0
1,23,56,57,1,0,1
1,23,33,46,0,0,0
1,23,49,56,0,0,0
1,23,46,48,1,0,1
1,2,80,71,0,0,0
1,3,57,46,0,0,0
1,3,47,62,0,0,0
5,18,69,56,0,0,0
1,5,24,52,0,0,0
1,5,66,63,0,0,0
1,5,74,52,0,0,0
1,5,63,56,0,0,0
1,6,37,64,0,0,0
1,6,55,89,1,0,3
1,7,31,48,0,0,0
1,7,42,53,0,0,0
1,7,61,61,0,0,0
1,7,42,62,0,0,0
1,7,51,82,0,0,0
1,7,59,50,0,0,0
1,7,58,66,0,0,0
1,8,29,91,0,0,0
1,8,36,60,0,0,0
1,8,64,51,0,0,0
1,8,65,61,1,0,1
1,8,61,56,0,0,0
1,8,23,44,0,0,0
1,8,53,47,0,0,0
1,8,54,48,0,0,0
1,8,20,21,0,0,0
1,8,52,85,0,0,0
1,8,80,77,0,0,0
1,8,67,50,0,0,0
1,8,30,90,0,0,0
1,8,56,46,0,0,0
1,9,77,54,0,0,0
1,9,68,55,0,0,0
1,9,61,49,0,0,0
1,9,85,63,0,0,0
1,9,62,59,0,0,0
1,9,38,62,0,0,0
1,9,28,89,0,0,0
1,9,75,63,0,0,0
1,9,62,48,0,0,0
1,9,63,76,0,0,0
1,9,62,58,0,0,0
1,9,63,81,1,0,1
0,10,84,76,0,0,0
0,10,56,64,0,0,0
0,10,37,55,0,0,0
0,10,38,45,1,0,2
0,10,84,75,0,0,0
0,10,41,58,0,0,0
0,10,61,47,0,0,0
0,10,88,59,0,0,0
0,11,63,67,0,0,0
0,11,44,74,0,0,0
0,11,50,88,0,0,0
0,11,40,44,0,0,0
0,11,59,59,0,0,0
0,11,65,87,0,0,0
0,11,59,66,1,0,1
0,11,38,45,0,0,0
0,12,64,65,0,0,0
0,12,58,93,0,0,0
0,12,44,88,1,0,2
0,12,31,52,0,0,0
0,12,64,48,0,0,0
0,12,59,74,0,0,0
0,13,49,92,1,0,1
0,13,49,85,1,0,1
0,13,37,61,0,0,0
0,13,51,43,0,0,0
0,13,40,58,0,0,0
0,13,41,64,0,0,0
0,13,59,65,0,0,0
0,13,52,44,0,0,0
0,13,45,55,0,0,0
0,14,28,46,0,0,0
0,14,45,62,0,0,0
0,14,63,56,0,0,0
0,14,66,60,0,0,0
0,14,83,75,0,0,0
0,14,31,60,0,0,0
0,14,84,65,0,0,0
0,14,69,49,0,0,0
0,14,43,48,0,0,0
0,14,50,76,1,0,1
0,14,93,78,1,0,3
0,14,65,92,0,0,0
0,14,59,89,0,0,0
0,14,46,63,0,0,0
0,14,73,52,0,0,0
0,14,55,89,0,0,0
0,14,24,52,0,0,0
0,14,36,68,0,0,0
0,14,32,43,1,0,2
0,14,61,45,0,0,0
0,14,54,46,0,0,0
0,14,89,67,0,0,0
0,14,69,50,0,0,0
0,15,93,70,0,0,0
0,15,46,49,0,0,0
0,15,42,55,0,0,0
0,15,37,55,0,0,0
0,15,24,54,0,0,0
0,15,60,77,0,0,0
0,15,49,81,1,0,1
0,15,47,50,0,0,0
0,15,38,51,0,0,0
0,15,45,64,0,0,0
0,15,47,73,0,0,0
0,15,32,15,0,0,0
0,15,61,94,0,0,0
0,15,69,49,0,0,0
0,16,35,59,0,0,0
0,16,59,63,0,0,0
0,16,54,62,0,0,0
0,16,40,64,1,0,3
0,16,87,74,0,0,0
0,16,69,55,0,0,0
0,16,96,72,1,0,1
0,16,51,79,0,0,0
0,16,58,74,0,0,0
0,16,50,81,1,0,1
0,16,77,65,0,0,0
0,16,37,58,0,0,0
0,16,60,47,0,0,0
